"","X0.2","X0.5","X1"
"313",0.201,0.659,0.93
"314",0.087,0.483,0.828
"315",0.153,0.486,0.871
"316",0.281,0.809,0.94
"317",0.198,0.736,0.928
"318",0.183,0.685,0.914
"319",0.261,0.801,0.959
"320",0.218,0.783,0.94
"321",0.122,0.506,0.87
"322",0.348,0.804,0.963
"323",0.157,0.581,0.856
"324",0.172,0.633,0.921
"325",0.205,0.681,0.919
"326",0.392,0.839,0.968
"327",0.159,0.596,0.896
"328",0.254,0.766,0.94
"329",0.23,0.74,0.912
"330",0.16,0.66,0.91
"331",0.07,0.583,0.884
"332",0.134,0.557,0.871
"333",0.301,0.763,0.934
"334",0.201,0.704,0.912
"335",0.25,0.766,0.945
"336",0.346,0.862,0.963
"337",0.186,0.699,0.92
"338",0.159,0.692,0.925
"339",0.254,0.756,0.948
"340",0.087,0.628,0.886
"341",0.25,0.741,0.932
"342",0.107,0.575,0.873
"343",0.155,0.638,0.894
"344",0.168,0.663,0.897
"345",0.192,0.727,0.931
"346",0.277,0.76,0.955
"347",0.302,0.779,0.948
"348",0.212,0.689,0.925
"349",0.29,0.781,0.939
"350",0.205,0.735,0.934
"351",0.146,0.632,0.897
"352",0.163,0.736,0.923
"353",0.23,0.688,0.898
"354",0.277,0.782,0.94
"355",0.27,0.786,0.944
"356",0.208,0.707,0.928
"357",0.186,0.675,0.92
"358",0.158,0.674,0.921
"359",0.25,0.755,0.958
"360",0.151,0.553,0.856
"361",0.2,0.695,0.92
"362",0.137,0.577,0.891
"363",0.157,0.682,0.915
"364",0.207,0.719,0.926
"365",0.092,0.652,0.909
"366",0.303,0.818,0.958
"367",0.247,0.726,0.917
"368",0.221,0.728,0.919
"369",0.263,0.77,0.95
"370",0.211,0.747,0.941
"371",0.208,0.694,0.919
"372",0.24,0.738,0.943
"373",0.202,0.662,0.919
"374",0.219,0.758,0.942
"375",0.173,0.651,0.906
"376",0.151,0.647,0.896
"377",0.248,0.768,0.929
"378",0.293,0.787,0.931
"379",0.191,0.679,0.927
"380",0.163,0.722,0.92
"381",0.221,0.69,0.913
"382",0.271,0.815,0.944
"383",0.291,0.811,0.951
"384",0.303,0.821,0.964
"385",0.317,0.818,0.962
"386",0.166,0.624,0.897
