# index, pos, _pos
278,"array([470.03, 300.6 ])","array([-2.17599422,  7.40796691])"
279,"array([470.22, 150.43])","array([-4.35094742,  7.05008884])"
280,"array([ 471.02, 1246.58])","array([-1.48359986,  2.32747646])"
281,"array([ 473.36, 1079.05])","array([-1.61914138,  3.00096566])"
282,"array([475.15, 799.  ])","array([-2.58240306,  3.62688828])"
283,"array([479.19, 829.09])","array([-2.45839993,  3.66157617])"
284,"array([481.82, 591.07])","array([-2.19538006,  6.76541704])"
285,"array([ 482.2, 1009.8])","array([-1.8357945 ,  3.18108467])"
286,"array([484.18, 331.72])","array([-2.26282064,  7.38463054])"
287,"array([ 490.05, 1150.13])","array([-1.66451857,  2.69956473])"
288,"array([491.72, 570.32])","array([-2.35321242,  6.62816659])"
289,"array([492.03, 993.5 ])","array([-1.95275279,  3.4086462 ])"
290,"array([494.31, 300.85])","array([-2.11949775,  7.39143315])"
291,"array([494.78, 172.47])","array([-4.53428329,  6.96551162])"
292,"array([  5.8 , 516.29])","array([-4.30852306,  4.13633399])"
293,"array([502.33, 440.89])","array([-2.50671024,  6.67562072])"
294,"array([504.74, 351.64])","array([-2.28571354,  7.27419358])"
295,"array([504.8 , 808.16])","array([-2.52589218,  3.84132136])"
296,"array([509.17, 615.59])","array([-2.12692574,  6.39407719])"
297,"array([510.75, 948.  ])","array([-2.02378147,  3.56602642])"
298,"array([ 511.41, 1163.81])","array([-1.50345329,  2.62601723])"
299,"array([ 511.62, 1374.39])","array([3.6855343 , 2.53692978])"
300,"array([513.41, 582.11])","array([-2.08557279,  6.35522251])"
301,"array([516.71, 679.25])","array([-1.99409465,  6.31530383])"
302,"array([518.6 , 548.63])","array([-2.03273614,  6.55341628])"
303,"array([528.51, 781.72])","array([-2.48865614,  3.89165504])"
304,"array([ 532.06, 1557.67])","array([3.97399685, 2.97440777])"
305,"array([ 539.72, 1518.08])","array([4.06658973, 2.6900537 ])"
306,"array([ 54.21, 650.62])","array([-4.41755293,  3.33086491])"
307,"array([541.39, 926.53])","array([-2.09901163,  3.83740052])"
308,"array([542.  , 708.45])","array([-1.97964979,  6.19948154])"
309,"array([ 544.78, 1193.52])","array([-1.1483873 ,  2.58292349])"
310,"array([546.35, 978.46])","array([-1.73453893,  3.50422317])"
311,"array([553.58, 787.19])","array([-2.38178784,  3.90500501])"
312,"array([ 554.41, 1364.17])","array([3.67030172, 2.8463293 ])"
313,"array([555.85, 981.62])","array([-1.60353797,  3.32093954])"
314,"array([559.39, 425.8 ])","array([-1.9960206 ,  6.94200869])"
315,"array([562.31, 940.47])","array([-1.86718369,  3.87571041])"
316,"array([562.92, 278.44])","array([-1.981418  ,  7.23882148])"
317,"array([ 563.63, 1141.45])","array([-1.20303715,  2.86298311])"
318,"array([565.87, 992.65])","array([-1.5718105 ,  3.41402958])"
319,"array([566.19, 718.05])","array([-1.93378147,  6.08736013])"
320,"array([567.85,  -2.  ])","array([-4.81331535,  7.17433645])"
321,"array([570.86, 917.04])","array([-1.99177934,  3.77589318])"
322,"array([ 571.14, 1225.89])","array([-1.19476801,  2.53653271])"
323,"array([574.11, 620.04])","array([-1.72906118,  6.19849856])"
324,"array([576.04,  37.05])","array([-4.71775974,  7.2159655 ])"
325,"array([ 583.78, 1350.76])","array([3.53349419, 2.77466776])"
326,"array([585.79, 611.28])","array([-1.7538348,  6.1413611])"
327,"array([588.  , 944.51])","array([-1.74768319,  3.79187894])"
328,"array([589.1, 822.3])","array([-2.04112757,  4.00967606])"
329,"array([ 589.16, 1226.56])","array([-1.2182814 ,  2.66842047])"
330,"array([ 592.13, 1146.23])","array([-0.77495171,  3.21620073])"
331,"array([ 597.83, 1367.37])","array([3.50492466, 2.89673143])"
332,"array([  6.64, 308.41])","array([-4.02736611,  5.46071301])"
333,"array([  6.96, 542.54])","array([-4.58903093,  4.18616359])"
334,"array([ 600.39, 1352.04])","array([3.47687674, 2.9913682 ])"
335,"array([ 603.3 , 1161.65])","array([-0.5508551 ,  3.32136253])"
336,"array([604.66, 979.03])","array([-1.57471313,  3.73066209])"
337,"array([ 606.82, 1209.27])","array([-1.21364863,  2.79877792])"
338,"array([ 607.26, 1014.02])","array([-1.46393841,  3.47941686])"
339,"array([611.14, 998.47])","array([-1.450511  ,  3.72912777])"
340,"array([612.48, 691.36])","array([-1.8897701 ,  5.97616256])"
341,"array([616.68, 270.9 ])","array([-1.75913688,  7.39464109])"
342,"array([ 62.72, 175.93])","array([-4.01279458,  5.67115741])"
343,"array([ 620.19, 1528.94])","array([4.00868997, 2.92362181])"
344,"array([620.59, 811.35])","array([-1.91086365,  4.13882489])"
345,"array([628.33, 707.62])","array([-1.62947717,  5.80288265])"
346,"array([ 629.54, 1186.82])","array([-0.51962051,  3.37713976])"
347,"array([632.8 , 502.77])","array([-1.73545853,  6.66220895])"
348,"array([637.43, 278.91])","array([-1.67078948,  7.42086168])"
349,"array([638.39, 191.37])","array([-4.99375328,  6.79692089])"
350,"array([ 642.68, 1036.05])","array([-1.17424378,  3.68279105])"
351,"array([ 646.37, 1291.37])","array([3.28337308, 3.121786  ])"
352,"array([651.89, 501.81])","array([-1.50125064,  6.84398488])"
353,"array([660.44, 754.33])","array([-1.43587574,  5.58016809])"
354,"array([665.01, 399.86])","array([-1.57901722,  7.10659126])"
355,"array([667.37, 389.49])","array([-1.61185795,  7.2189096 ])"
356,"array([ 669.89, 1102.14])","array([-0.8287461 ,  3.54334646])"
357,"array([ 677.66, 1557.67])","array([3.73452148, 3.51860466])"
358,"array([ 680.22, 1436.34])","array([3.8695485 , 2.99673751])"
359,"array([681.29, 761.  ])","array([-1.24448917,  5.53778759])"
360,"array([687.72, 333.58])","array([-1.47937148,  7.61850872])"
361,"array([  69.68, 1400.66])","array([4.61036337, 1.09611483])"
362,"array([693.19, 401.38])","array([-1.37423683,  7.47585201])"
363,"array([ 693.63, 1278.6 ])","array([3.09523826, 3.1934849 ])"
364,"array([ 70.02, 605.01])","array([-4.41113764,  4.04517058])"
365,"array([700.06, 572.92])","array([-1.47272512,  6.5271331 ])"
366,"array([ 700.65, 1415.26])","array([3.47417669, 3.35341708])"
367,"array([701.38,  -1.37])","array([-5.0269808 ,  7.10904147])"
368,"array([707.98, 713.88])","array([-1.52749047,  5.648878  ])"
