# index, pos, _pos
378,"array([ 61.89, 828.48])","array([1.0826728 , 3.51499537])"
379,"array([ 62.91, 535.87])","array([0.55386003, 3.60729486])"
380,"array([ 628.3 , 1414.19])","array([1.41124079, 1.93976823])"
381,"array([628.8 , 931.09])","array([0.58357445, 2.72140263])"
382,"array([ 632.36, 1222.17])","array([1.10207747, 2.10672091])"
383,"array([ 634.9 , 1016.43])","array([0.74093835, 2.46279404])"
384,"array([ 657.76, 1389.8 ])","array([1.30396071, 1.89591816])"
385,"array([658.02, 164.89])","array([-0.46011218,  3.53054516])"
386,"array([658.27, 946.33])","array([0.62170806, 2.57016384])"
387,"array([658.45, 668.19])","array([0.14432527, 3.03551466])"
388,"array([  66.46, 1453.81])","array([2.24774096, 2.74570186])"
389,"array([661.32, 830.51])","array([0.42260803, 2.81430921])"
390,"array([ 664.87, 1170.35])","array([1.00363903, 2.14389784])"
391,"array([ 667.92, 1492.42])","array([1.4749624 , 1.89315443])"
392,"array([668.25, 357.52])","array([-0.42782615,  3.26067187])"
393,"array([ 673.  , 1342.05])","array([1.21648873, 1.96947196])"
394,"array([673.79, 476.42])","array([-0.35530223,  3.11701215])"
395,"array([ 68.22, 344.73])","array([0.27639751, 4.07006272])"
396,"array([680.61, 560.8 ])","array([-0.32472566,  3.00960839])"
397,"array([ 693.32, 1111.42])","array([0.95508402, 2.25279907])"
398,"array([696.38, 199.84])","array([-0.47493966,  3.37649895])"
399,"array([697.89, 722.81])","array([0.24720834, 2.8416881 ])"
400,"array([699.36, 608.53])","array([-0.0337865 ,  2.96381111])"
401,"array([ 703.48, 1243.5 ])","array([1.07829423, 1.98628507])"
